ticker,fiscalQuarter,commonSharesOutstanding_,commonSharesTraded_,capitalExpenditure_,oiadpq,netIncome_,operatingIncome_,shareholdersEquity_,totalAssets_,EPS_,debtToTotalAssets,niToAsset,ROA,ROE,revenueGrowth,netIncomeGrowth,quickRatio,rsi,mva,cfroi,companyName,revtq,salePrice,realGDPSA,m2SA,m2MinusM1SA,m2Velocity,primeRate
NMRK,2015Q4,,,12.133,-8.982,-2.803,1142.439,804.034,1657.93,-0.02,-0.4843594120379026,-0.0016906624525764,-0.0016906624525764,-0.0034861709828191,79.06984656437625,0.6353558926487748,0.6443495280426546,,,0.4154377402992346,NEWMARK GROUP INC,0.0,1281596.9892533692,18892.206,12290.766666666668,9224.500000000002,1.5,3.290322580645161
NMRK,2016Q1,,,12.133,-8.982,-2.803,1142.439,804.034,1657.93,-0.02,-0.4843594120379026,-0.0016906624525764,-0.0016906624525764,-0.0034861709828191,0.0,0.0,0.6443495280426546,,,0.4154377402992346,NEWMARK GROUP INC,0.0,1177307.1113675174,19001.69,12571.066666666666,9435.233333333332,1.474,3.5
NMRK,2016Q2,,,12.133,-8.982,-2.803,1142.439,804.034,1657.93,-0.02,-0.4843594120379026,-0.0016906624525764,-0.0016906624525764,-0.0034861709828191,0.0,0.0,0.6443495280426546,,,0.4154377402992346,NEWMARK GROUP INC,0.0,1336356.476215552,19062.709,12772.8,9546.333333333334,1.465,3.5
NMRK,2016Q3,,,12.133,-8.982,-2.803,1142.439,804.034,1657.93,-0.02,-0.4843594120379026,-0.0016906624525764,-0.0016906624525764,-0.0034861709828191,0.0,0.0,0.6443495280426546,,,0.4154377402992346,NEWMARK GROUP INC,0.0,999489.5267452009,19197.938,12965.933333333334,9675.1,1.457,3.5
NMRK,2016Q4,,,27.26,153.008,168.401,1123.52,983.783,2534.688,1.07,-0.3877333226022295,0.0664385518059816,0.0664385518059816,0.1711769770366026,0.124754321402178,-61.07884409561185,0.2913475432757551,,,-0.5748732115761255,NEWMARK GROUP INC,0.0,1111994.404369254,19304.352,13171.533333333333,9830.033333333333,1.449,3.545081967213114
NMRK,2017Q1,,,27.26,37.051,36.711,277.294,983.783,2534.688,0.16,-0.3877333226022295,0.0664385518059816,0.0664385518059816,0.1711769770366026,-0.7536398606500971,-0.7820024821705335,0.2913475432757551,,,-0.5748732115761255,NEWMARK GROUP INC,0.0,993844.7319577826,19398.343,13365.566666666666,9943.966666666664,1.443,3.7983870967741935
NMRK,2017Q2,,,27.26,55.913,55.145,325.94,983.783,2534.688,0.24,-0.3877333226022295,0.0664385518059816,0.0664385518059816,0.1711769770366026,0.2179582779585185,0.5021383236632073,0.2913475432757551,,,-0.5748732115761255,NEWMARK GROUP INC,0.0,1082544.3863837312,19506.949000000004,13526.633333333331,10027.366666666669,1.437,4.046153846153846
NMRK,2017Q3,150.504,,13.333,22.11,98.807,346.189,1290.536,2539.916,0.44,-0.5077081289302481,0.0389016802130464,0.0389016802130464,0.0765627615192447,-0.0169106156698456,0.7917671593072808,0.5456502021412847,,,0.3532276072467394,NEWMARK GROUP INC,0.012,926240.3432822404,19660.766,13671.0,10107.1,1.44,4.25
NMRK,2017Q4,154.434,15887597.0,19.069,13.587,-46.171,422.551,222.318,2273.007,-0.21,-0.0973679359544427,-0.0191862616543003,-0.0203127399079721,-0.2076799899243425,0.1565839069260537,-1.467284706549131,0.5909392937279897,,1128.8765999999998,0.5717969242206385,NEWMARK GROUP INC,0.035,1046993.903316931,19882.352,13823.666666666666,10210.833333333332,1.449,4.294354838709677
NMRK,2018Q1,154.762,38203833.0,1.714,47.422,19.997,360.525,531.577,3057.15,0.12,-0.1735528188018252,0.0065410594835058,0.0065410594835058,0.0376182566213361,-0.065387688459668,-1.4331073617638777,0.4125481581748134,0.0,984.6528,-0.3860368831128071,NEWMARK GROUP INC,0.034,1170127.0065268297,20044.077,13926.166666666666,10276.9,1.46,4.528225806451613
